date,open,close,high,low,volume,指数
2026-05-21,4174.380,4077.280,4199.530,4074.220,727218701.000,上证指数
2026-05-22,4096.170,4112.900,4120.090,4067.750,589459644.000,上证指数
2026-05-25,4126.340,4152.570,4153.880,4119.800,615930861.000,上证指数
2026-05-26,4137.320,4145.370,4150.290,4104.460,654777756.000,上证指数
2026-05-27,4138.810,4093.730,4153.560,4077.620,660467399.000,上证指数
2026-05-28,4080.300,4098.640,4110.780,4055.830,621179950.000,上证指数
2026-05-29,4110.520,4068.570,4112.960,4055.890,731597710.000,上证指数
2026-06-01,4067.160,4057.740,4093.040,4045.690,676025806.000,上证指数
2026-06-02,4061.460,4075.100,4089.570,4032.580,642244656.000,上证指数
2026-06-03,4068.340,4083.970,4107.050,4059.910,668452583.000,上证指数
2026-06-04,4053.670,4057.780,4080.720,4043.430,621194774.000,上证指数
2026-06-05,4044.830,4027.740,4078.930,4015.060,662918577.000,上证指数
2026-06-08,3938.710,3959.340,4007.490,3927.850,659293555.000,上证指数
2026-06-09,3977.540,4010.030,4010.870,3955.910,576570090.000,上证指数
2026-06-10,3985.120,3993.230,4006.310,3963.440,598694739.000,上证指数
2026-06-11,3979.710,3987.010,3997.480,3958.440,568545244.000,上证指数
2026-06-12,4017.860,4031.510,4060.270,4008.180,743131092.000,上证指数
2026-06-15,4053.580,4096.470,4097.170,4051.070,678907811.000,上证指数
2026-06-16,4094.210,4091.890,4103.930,4077.870,615668296.000,上证指数
2026-06-17,4074.290,4108.080,4109.960,4073.730,608077413.000,上证指数
2026-06-18,4094.230,4090.480,4117.450,4080.290,658116068.000,上证指数
2026-06-22,4093.950,4163.100,4164.420,4070.170,743699355.000,上证指数
2026-06-23,4153.590,4106.250,4175.350,4085.590,709003913.000,上证指数
2026-06-24,4090.100,4110.810,4117.280,4075.490,644527518.000,上证指数
2026-06-25,4103.480,4120.280,4133.100,4093.010,670459917.000,上证指数
2026-06-26,4098.690,4027.260,4099.780,4007.860,660108666.000,上证指数
2026-06-29,4026.690,4073.900,4075.330,3992.550,659199936.000,上证指数
2026-06-30,4058.170,4094.400,4097.420,4052.170,598412203.000,上证指数
2026-07-01,4090.760,4112.450,4143.310,4087.540,672331791.000,上证指数
2026-07-02,4054.090,4028.900,4093.680,4019.210,656233612.000,上证指数
2026-07-03,4031.340,4043.640,4073.880,4027.260,602009738.000,上证指数
2026-07-06,4059.190,4041.240,4060.070,4005.410,590364903.000,上证指数
2026-07-07,4019.490,3990.240,4028.510,3971.710,514453091.000,上证指数
2026-07-08,3996.810,3970.880,4016.030,3967.910,496229374.000,上证指数
2026-07-09,3977.550,4036.590,4040.540,3938.880,553063980.000,上证指数
2026-07-10,4031.540,3996.160,4074.830,3995.810,627450065.000,上证指数
2026-07-13,3966.020,3913.790,3983.050,3900.670,590907356.000,上证指数
2026-07-14,3909.270,3967.130,3967.130,3869.300,579982052.000,上证指数
2026-07-15,3963.730,3955.580,3981.670,3943.700,576209492.000,上证指数
2026-07-16,3912.380,3882.410,3940.450,3867.600,535281873.000,上证指数
2026-07-17,3865.320,3764.150,3869.210,3745.170,650450984.000,上证指数
2026-07-20,3791.660,3796.280,3831.660,3741.110,709234069.000,上证指数
2026-07-21,3812.160,3864.370,3864.600,3743.360,735021925.000,上证指数
2026-07-22,3839.670,3867.030,3884.440,3839.670,614255215.000,上证指数
2026-07-23,3868.090,3876.780,3878.830,3851.710,562122601.000,上证指数
2026-07-24,3853.630,3814.200,3861.040,3808.640,508203905.000,上证指数
2025-07-01,10458.390,10476.290,10483.330,10407.170,695078613.000,深证成指
2025-07-02,10455.830,10412.630,10455.830,10386.490,678272985.000,深证成指
2025-07-03,10431.030,10534.580,10546.740,10431.030,638445112.000,深证成指
2025-07-04,10534.990,10508.760,10610.500,10480.720,667051160.000,深证成指
2025-07-07,10488.110,10435.510,10501.310,10426.550,578492942.000,深证成指
2025-07-08,10431.780,10588.390,10593.840,10431.780,665860083.000,深证成指
2025-07-09,10592.510,10581.800,10656.580,10557.810,702950075.000,深证成指
2025-07-10,10593.700,10631.130,10667.410,10562.160,701359248.000,深证成指
