序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
97,603222,济民健康,-0.1,337635982.5,-7.8628761971,7.0142,-49423034.89,6.2107694709,9.3349,2.072395268634,-4.34,0.023936970155,36.316651967,医疗器械,2026-08-26
98,603198,迎驾贡酒,1.45,3415678280.0,8.0797542715,-46.8175,1161706016.5,2.79,-60.8027,13.2462240345,10.74,1.343839641925,74.0648132608,白酒Ⅱ,2026-08-26
99,603194,中力股份,1.07,3916474618.1,14.1597867688,25.1901,428245619.17,-4.3,35.1339,13.955651371995,7.72,0.322750608603,30.8658617455,工程机械,2026-08-26
100,603167,渤海轮渡,0.12,722361321.53,-0.7997833919,30.8406,54766188.22,-46.09,-84.8879,7.060137617066,1.57,0.426085508925,12.2162988604,航运港口,2026-08-26
101,603165,荣晟环保,0.67,1181368705.37,11.3031385447,10.3678,190406559.66,65.54,51.092,7.868430076691,7.91,-0.183918388948,13.0652900046,造纸,2026-08-26
102,603122,合富中国,-0.02,338730114.48,-7.8681999364,19.49,-7499238.01,-2.1946479678,109.4853,2.607190429438,-0.72,0.035757412664,17.2993299223,医疗服务,2026-08-26
103,603118,共进股份,0.09,4821259457.67,16.0861893146,21.229,72630900.57,26.33,97.06,6.47019852805,1.43,-0.225661239631,11.3854255078,通信设备,2026-08-26
104,603112,华翔股份,0.48,2206396932.97,11.6440245968,9.2377,261638901.95,-9.89,-21.7973,8.365045952257,5.85,-0.165797478698,19.9759498182,家电零部件Ⅱ,2026-08-26
105,603111,康尼机电,0.2,2119453320.86,5.0784918978,34.1643,169859610.29,9.69,104.4404,4.612906057338,4.1,0.080053338705,30.0949002591,轨交设备Ⅱ,2026-08-26
106,603106,恒银科技,0.0147,112105469.34,-41.2371499733,-2.0912,7656115.82,-46.52,69.0014,2.533194059633,0.58,-0.171733310017,39.2155167262,计算机设备,2026-08-26
107,603105,芯能科技,0.05,323633351.73,-10.8595703032,67.8277,24134134.82,-77.09,854.5159,4.141764857849,1.05,0.1962338557,44.9085231708,电力,2026-08-26
108,603098,森特股份,0.11,1149076374.27,-29.0458400473,13.5626,61659491.07,-14.43,86.5686,5.265004106041,2.15,-0.243942452616,24.5231663543,专业工程,2026-08-26
109,603091,众鑫股份,1.36,902670977.47,33.6986534196,16.1284,194094630.07,66.61,6.8879,15.931271392373,8.49,1.137581982615,33.8610335858,包装印刷,2026-08-26
110,603087,甘李药业,1.03,2223021840.47,7.558860415,53.1601,609780530.35,1.01,116.7924,19.603556348097,5.15,0.723788016018,74.1256123463,生物制品,2026-08-26
111,603078,江化微,0.122,680371981.39,17.216130961,11.3492,46935270.74,-2.36,-36.8972,5.162320002475,2.36,0.226599417181,24.7021037751,电子化学品Ⅱ,2026-08-26
112,603030,全筑股份,-0.002,520609055.1,15.6485754689,-22.9703,-3250944.47,95.32,-344.6534,0.528000507216,-0.43,-0.037454904018,12.9396998861,装修装饰Ⅱ,2026-08-26
113,603014,威高血净,0.55,1758243796.68,-0.3647440959,-5.5613,229758624.3,4.32,-5.7901,17.308326851665,3.2,0.308076277898,37.8770695638,医疗器械,2026-08-26
114,603009,北特科技,0.1829,1204452216.15,8.196177817,5.6379,63127684.54,14.78,32.2743,5.882223790125,3.1493,0.179660572901,20.1629236664,汽车零部件,2026-08-26
115,603008,ST喜临门,-0.1,3812241542.77,-5.1801482076,26.619,-36197749.35,-113.58,99.0886,9.547788744317,-1.02,-0.240568006481,30.2630049349,家居用品,2026-08-26
116,601965,中国汽研,0.43,2042856872.96,6.9076211464,52.348,427235758.63,4.56,59.5873,8.005411779214,5.33,0.089607552872,45.0161875304,专业服务,2026-08-26
117,601878,浙商证券,0.36,5702941183.09,49.3294864637,41.7499,1610963188.53,40.21,14.4642,8.209755701521,4.31,3.419205711111,,证券Ⅱ,2026-08-26
118,601865,福莱特,-0.16,6668210124.99,-13.8143224023,-18.4829,-363017628.12,-239.04,-1151.6402,9.038626765922,-1.63,0.572337828884,8.1757104201,光伏设备,2026-08-26
119,601858,中国科传,0.22,1180066757.51,-5.8039188066,129.8614,177716076.65,-6.36,273.8173,7.387492473017,3.09,-0.069513763416,30.9657670547,出版,2026-08-26
120,601827,三峰环境,0.39,2942971143.39,3.3886965749,-6.5426,660054608.83,-2.65,-46.4522,7.332843845679,5.34,0.616169319416,40.7094825843,环境治理,2026-08-26
121,601633,长城汽车,0.29,102101430542.57,10.58,26.3421,2464509236.1,-61.11,60.6682,10.178081082893,2.76,1.220109113128,18.3731738713,乘用车,2026-08-26
122,601369,陕鼓动力,0.19,4987791352.26,2.440471072,-7.2596,331226284.83,-19.94,-27.211,5.209800349978,3.67,0.295351185134,22.2560870003,专用设备,2026-08-26
123,601368,绿城水务,0.0616,1197894459.41,0.6983723056,19.347,54364720.38,102.14,15.048,5.47424147647,1.13,0.193116782801,37.291634753,环境治理,2026-08-26
124,601333,广深铁路,0.168,14788868480.0,5.8693425191,0.0955,1190083105.0,7.32,5.3216,4.088512410114,4.16,0.20020893291,11.7194848906,铁路公路,2026-08-26
125,601226,华电科工,0.0657,4573075251.81,18.5447178532,81.5717,76394892.1,41.23,346.3234,3.804533352004,1.74,-0.316143347851,10.9384889886,专业工程,2026-08-26
126,601216,君正集团,0.1975,12890561227.29,1.818933018,11.6587,1666828055.83,-13.18,32.3484,3.25531152243,5.64,0.278227231409,20.7095252322,化学原料,2026-08-26
127,601199,江南水务,0.1583,639345173.36,5.4521941234,11.4857,148064344.35,-9.85,-28.318,5.012688757621,3.16,0.020051821917,40.7383402789,环境治理,2026-08-26
128,601139,深圳燃气,0.27,14788059104.04,-4.1699540388,17.1289,778123275.51,22.02,91.4707,5.754609892296,4.66,0.497585231459,15.8346080408,燃气Ⅱ,2026-08-26
129,601133,柏诚股份,0.16,2651686909.08,9.399874297,108.4444,86008923.39,3.01,76.7239,5.803611725258,2.83,-1.151122334399,10.7244389089,专业工程,2026-08-26
130,601121,宝地矿业,0.203,888427764.7,23.143141637,101.7892,189355870.76,207.44,312.3402,4.52702316308,4.67,0.123340809507,45.4319577548,冶钢原料,2026-08-26
131,601113,华鼎股份,0.04,2440472223.11,1.2283095861,14.276,48152034.05,-68.49,353.0273,3.534346780205,1.19,0.123360501628,8.9166466612,化学纤维,2026-08-26
132,601098,中南传媒,0.52,5842857982.84,-8.242495733,0.0186,932501186.09,-8.25,45.6688,9.072402962121,5.65,-0.425995868831,47.8505976524,出版,2026-08-26
133,601086,国芳集团,0.11,422062599.15,10.3457902804,-19.3005,71133614.77,214.09,-28.9346,2.404313882477,4.34,0.169996738318,39.349265193,一般零售,2026-08-26
134,601038,一拖股份,0.6962,7886321202.98,13.8383580802,-31.1021,782287915.86,1.72,-60.9296,7.315881518026,9.76,0.944152892682,16.6057035173,专用设备,2026-08-26
135,601033,永兴股份,0.58,2252780831.36,9.1013305162,3.6566,522430997.74,13.24,20.0799,11.973151496978,4.76,1.053152951689,41.3046644612,环境治理,2026-08-26
136,601019,山东出版,0.31,4604912601.72,-8.0885663266,-16.3925,638345883.94,-4.72,-5.608,7.45133793096,4.06,-0.272106459461,38.4126882113,出版,2026-08-26
137,600993,马应龙,0.84,2011743162.56,3.2180292216,-1.2827,362612357.03,5.65,-29.428,10.301076290946,7.95,0.998209055953,46.8716417816,中药Ⅱ,2026-08-26
138,600970,中材国际,0.36,21262052884.81,-1.9104496448,23.6959,933563881.95,-34.3,5.314,8.608329396186,4.07,-0.059854082388,16.7776166679,专业工程,2026-08-26
139,600935,华塑股份,-0.02,2164124651.47,-1.0310985183,20.7456,-76490293.01,40.552595564,-291.5338,1.635602795955,-1.29,0.04363119948,11.2909433218,化学原料,2026-08-26
140,600883,博闻科技,0.064,26176829.62,-8.7587660102,-32.4841,15112835.24,5.31,-52.6189,4.175170430263,1.5161,-0.021402428162,5.3574738437,种植业,2026-08-26
141,600879,航天电子,0.012,4529823776.31,-22.1914631447,45.8158,40589188.18,-76.63,-70.2307,6.320582613066,0.194,-0.711018959112,21.8487022859,航天装备Ⅱ,2026-08-26
142,600854,春兰股份,0.1892,77615966.17,65.0474966376,100.4837,98272706.74,-17.23,6496.571,4.738232419947,3.9554,,18.2702536472,白色家电,2026-08-26
143,600833,第一医药,0.1173,981570843.53,-1.5076812281,2.5706,26169780.29,86.6,-87.5027,5.023504130533,2.29,0.095802641073,15.2753263178,医药商业,2026-08-26
144,600831,广电网络,-0.6861,528575992.25,-18.2815887151,0.4246,-487794253.09,-35.3271120472,-59.6174,0.076635793263,-163.48,0.185122768984,-5.0747084929,电视广播Ⅱ,2026-08-26
145,600830,香溢融通,0.117,259215772.49,9.18,13.6358,53147154.94,9.65,10.3397,5.029645704357,2.346,-1.308315588786,59.1799388155,多元金融,2026-08-26
146,600771,广誉远,0.17,824338901.03,5.7816355865,-31.1536,84657266.72,10.15,-73.15,3.40628120806,5.1,0.575814454873,66.7963425154,中药Ⅱ,2026-08-26
147,600756,浪潮软件,-0.41,445417907.97,3.7492524051,133.8049,-142404907.23,3.6942031464,35.019,6.233049531455,-6.33,-0.585487026949,40.7380670317,IT服务Ⅱ,2026-08-26
148,600755,厦门国贸,0.1,196204239219.53,29.3724074706,25.7783,426304380.19,-18.5,-32.4805,8.900181208293,1.08,-13.358502578584,2.3725153754,物流,2026-08-26
149,600746,江苏索普,0.22,3429997866.26,8.6099057475,26.5178,253380170.7,148.73,543.0993,4.812320151167,4.57,0.034053467932,12.5766344129,化学原料,2026-08-26
150,600703,三安光电,-0.02,6467563008.98,-28.0373813042,22.4876,-97904534.71,-155.47,-345.0606,6.953185655248,-0.28,0.144702328124,14.8613604178,光学光电子,2026-08-26
